,title,company,city,country,posted,link
0,Middle Data Engineer,Vertex Technologies  -,"Cairo,",Egypt,3 days ago,https://wuzzuf.net/jobs/p/f3fi6wjnx9o9-middle-data-engineer-vertex-technologies-cairo-egypt
1,Senior Data Engineer,Vertex Technologies  -,"Cairo,",Egypt,3 days ago,https://wuzzuf.net/jobs/p/dw9vbculsh2b-senior-data-engineer-vertex-technologies-cairo-egypt
2,Senior Data Engineer,GB Corp -,"Giza,",Egypt,2 days ago,https://wuzzuf.net/jobs/p/desxrlp7krfz-senior-data-engineer-gb-corp-giza-egypt
3,Data Engineer,Hyundai Rotem -,"Cairo,",Egypt,20 days ago,https://wuzzuf.net/jobs/p/beqgj9o9kpfk-data-engineer-hyundai-rotem-cairo-egypt
4,"Data Center Engineer (Compute, Storage & Data Protection)",Confidential -,"New Capital,","Cairo,",Egypt,https://wuzzuf.net/jobs/p/bitfhi15bemy-data-center-engineer-compute-storage-data-protection-cairo-egypt
5,Infrastructure Network Operations Engineer (Data Center & WAN),Confidential -,"New Capital,","Cairo,",Egypt,https://wuzzuf.net/jobs/p/mc8ehc6xddfq-infrastructure-network-operations-engineer-data-center-wan-cairo-egypt
6,Senior Sales Engineer – Data Centers & Mission-Critical Infrastructure,Mobi Egypt -,"Maadi,","Cairo,",Egypt,https://wuzzuf.net/jobs/p/x8tb3ijdep9x-senior-sales-engineer-data-centers-mission-critical-infrastructure-mobi-egypt-cairo-egypt
7,BI Engineer - SQL / PYTHON,RISEUP (Endemag for Administrative Skills Development) -,"Maadi,","Cairo,",Egypt,https://wuzzuf.net/jobs/p/bl1q5hs5faeq-bi-engineer-sql-python-riseup-endemag-for-administrative-skills-development-cairo-egypt
8,QS Engineer,Concrete Plus -,"Cairo,",Egypt,2 days ago,https://wuzzuf.net/jobs/p/s7uloeeg1qxy-qs-engineer-concrete-plus-cairo-egypt
9,Senior Electrical Procurement Engineer,Concrete Plus -,"New Cairo,","Cairo,",Egypt,https://wuzzuf.net/jobs/p/oi2e0hcm9gmc-senior-electrical-procurement-engineer-concrete-plus-cairo-egypt
10,Production Engineer,El Rashidi El Mizan -,"6th of October,","Giza,",Egypt,https://wuzzuf.net/jobs/p/hnqrkmq9lp3n-production-engineer-el-rashidi-el-mizan-giza-egypt
11,Senior Storage and Backup Engineer,Anzemah -,"Giza,",Egypt,2 days ago,https://wuzzuf.net/jobs/p/zl1tlcwdq9wm-senior-storage-and-backup-engineer-anzemah-giza-egypt
12,Senior Security Engineer / Security Team Lead,Anzemah -,"Giza,",Egypt,3 days ago,https://wuzzuf.net/jobs/p/laprqjalr4h6-senior-security-engineer-security-team-lead-anzemah-giza-egypt
13,Data Scientist And Machine learning Engineer - Applied AI & Knowledge Sharing,EpsilonAI -,"Nasr City,","Cairo,",Egypt,https://wuzzuf.net/jobs/p/hif824t4axxr-data-scientist-and-machine-learning-engineer-applied-ai-knowledge-sharing-epsilonai-cairo-egypt
14,Cost Estimation Engineer (procurement),Aswaq -,"Shorouk City,","Cairo,",Egypt,https://wuzzuf.net/jobs/p/wobpk6dqvtvq-cost-estimation-engineer-procurement-aswaq-cairo-egypt
15,Traffic Engineer,Seero -,"Cairo,",Egypt,11 days ago,https://wuzzuf.net/jobs/p/4btyvccc9toh-traffic-engineer-seero-cairo-egypt
16,AI & Data Science Engineer,Raya Distribution -,"Cairo,",Egypt,1 month ago,https://wuzzuf.net/jobs/p/r1yxretv7hyo-ai-data-science-engineer-raya-distribution-cairo-egypt
17,Senior Sales Engineer,Mobi Egypt -,"Maadi,","Cairo,",Egypt,https://wuzzuf.net/jobs/p/novce4xad1pv-senior-sales-engineer-mobi-egypt-cairo-egypt
18,AI Engineer,Confidential -,"Sheraton,","Cairo,",Egypt,https://wuzzuf.net/jobs/p/0jlu7uzk7kis-ai-engineer-cairo-egypt
19,Production Engineer,El-Obour for Paper Production -,"Obour City,","Cairo,",Egypt,https://wuzzuf.net/jobs/p/lu2d0irmkyny-production-engineer-el-obour-for-paper-production-cairo-egypt
20,Mechanical Production Engineer,iLock -,"Mit Ghamr,","Dakahlia,",Egypt,https://wuzzuf.net/jobs/p/ng7jqijknicw-mechanical-production-engineer-ilock-dakahlia-egypt
21,Splunk Administrator Engineer,Digital cloud for Technology and cybersecurity -,"Cairo,",Egypt,11 days ago,https://wuzzuf.net/jobs/p/4foi9uwgik5k-splunk-administrator-engineer-digital-cloud-for-technology-and-cybersecurity-cairo-egypt
22,Senior Structural Engineer,Main Marks -,"New Cairo,","Cairo,",Egypt,https://wuzzuf.net/jobs/p/weahg2vayiqc-senior-structural-engineer-main-marks-cairo-egypt
23,Material Engineer (Control),Doosan Enerbility co .LTD -,"Dabaa,","Matruh,",Egypt,https://wuzzuf.net/jobs/p/f3m2lngfgurm-material-engineer-control-doosan-enerbility-co-ltd-matruh-egypt
24,Principal OR Engineer (Optimization & Decision Intelligence),Makkook.AI -,"Maadi,","Cairo,",Egypt,https://wuzzuf.net/jobs/p/jkvkbo0qfay3-principal-or-engineer-optimization-decision-intelligence-makkook-ai-cairo-egypt
25,Production Engineer - Sheet Metal Fabrication,Arcelormittal Egypt -,"Badr City,","Cairo,",Egypt,https://wuzzuf.net/jobs/p/msaa3ikxvi5u-production-engineer-sheet-metal-fabrication-arcelormittal-egypt-cairo-egypt
26,Tech Lead / Principal Engineer – Full‑Stack & AI Systems,Makkook.AI -,"Maadi,","Cairo,",Egypt,https://wuzzuf.net/jobs/p/blne8rf8kvkp-tech-lead-principal-engineer-fullstack-ai-systems-makkook-ai-cairo-egypt
27,Agricultural Engineer - Fruits & Vegetables,Global Zone Link -,"Maadi,","Cairo,",Egypt,https://wuzzuf.net/jobs/p/zbi0utbpnptl-agricultural-engineer-fruits-vegetables-global-zone-link-cairo-egypt
